BSU	GeneID	Abundance
BSU05680	ydgK	245
BSU05690	ydhB	22
BSU05700	ydhC	309
BSU05710	ydhD	69
BSU05720	ydhE	549
BSU05730	ydhF	8
BSU05740	phoB	36
BSU05750	ydhG	295
BSU05760	ydhH	79
BSU05770	ydhI	26
BSU05780	ydhJ	259
BSU05790	ydhK	524
BSU05800	pbuE	24
BSU05810	gmuB	10
BSU05820	gmuA	10
BSU05830	gmuC	23
BSU05840	gmuD	35
BSU05850	gmuR	51
BSU05860	gmuE	92
BSU05870	gmuF	61
BSU05880	gmuG	273
BSU05890	ydhU	5
BSU05899	ydhU	1
BSU05900	thiL	284
BSU05910	ydiB	131
BSU05920	ydiC	226
BSU05930	rimI	151
BSU05940	gcp	3
BSU05950	ydiF	2473
BSU05960	moaC	491
BSU05970	ydiH	837
BSU05980	tatAY	402
BSU05990	tatCY	1002
BSU06000	ydiK	104
BSU06010	ydiL	604
BSU06020	groES	6005
BSU06030	groEL	58003
BSU06033	ydzT	13
BSU06034	ydzT	2
BSU06036	ydzT	2
BSU06037	ydzT	0
BSU06038	ydzT	1
BSU06040	ydiM	259
BSU06048	ydzU	76
BSU06049	ydzV	201
BSU06060	ydiO	1800
BSU06070	ydiP	3396
BSU06073	ydzW	59
BSU06074	ydzW	16
BSU06076	ydzW	92
BSU06077	ydzW	65
BSU06078	ydzW	38
BSU06079	ydzW	0
BSU06083	ydzW	19
BSU06090	ydiR	614
BSU06100	ydiS	1182
BSU06110	ydjA	1520
BSU06120	ydjB	44
BSU06130	ydjC	44
BSU06140	gutR	544
BSU06150	gutB	117
BSU06160	gutP	38
BSU06170	ydjE	2035
BSU06180	pspA	4263
BSU06190	ydjG	2772
BSU06200	ydjH	2137
BSU06210	ydjI	9686
BSU06220	ydjJ	79
BSU06230	iolT	19
BSU06240	bdhA	25161
BSU06250	ydjM	41
BSU06260	ydjN	84
BSU06269	ydzJ	39
BSU06270	ydjO	3065
BSU06280	ydjP	4933
BSU06290	yeaA	3512
BSU06300	cotA	94
BSU06310	gabP	2201
BSU06319	ydzX	0
BSU06320	yeaB	126
BSU06330	yeaC	489
BSU06340	yeaD	844
BSU06350	yebA	2357
BSU06360	guaA	13730
BSU06370	pbuG	788
BSU06380	yebC	1387
BSU06390	yebD	14
BSU06400	yebE	130
BSU06410	yebG	31
BSU06420	purE	857
BSU06430	purK	2004
BSU06440	purB	8414
BSU06450	purC	3987
BSU06460	purS	1047
BSU06470	purQ	3523
BSU06480	purL	17446
BSU06490	purF	19970
BSU06500	purM	9078
BSU06510	purN	5793
BSU06520	purH	16905
BSU06530	purD	22856
BSU06540	yezC	165
BSU06550	yecA	143
BSU06559	yezF	0
BSU06560	yerA	3214
BSU06570	yerB	4263
BSU06580	yerC	811
BSU06590	yerD	623
BSU06600	pcrB	119
BSU06610	pcrA	2868
BSU06620	ligA	6975
BSU06630	yerH	5314
BSU06640	yerI	2644
BSU06650	sapB	154
BSU06660	opuE	1889
BSU06670	gatC	1768
BSU06680	gatA	24373
BSU06690	gatB	31918
